77,testnow,2,12:05:11:721,2021-03-10
78,testnow,1,12:05:11:802,2021-03-10
78,testnow,2,12:05:11:826,2021-03-10
79,testnow,1,12:05:11:855,2021-03-10
79,testnow,2,12:05:11:855,2021-03-10
80,testnow,1,12:05:11:928,2021-03-10
80,testnow,2,12:05:11:956,2021-03-10
81,testnow,1,12:05:11:997,2021-03-10
81,testnow,2,12:05:11:997,2021-03-10
82,testnow,1,12:05:12:054,2021-03-10
82,testnow,2,12:05:12:054,2021-03-10
83,testnow,1,12:05:12:139,2021-03-10
83,testnow,2,12:05:12:139,2021-03-10
84,testnow,2,12:05:12:198,2021-03-10
84,testnow,1,12:05:12:198,2021-03-10
85,testnow,1,12:05:12:255,2021-03-10
85,testnow,2,12:05:12:255,2021-03-10
86,testnow,2,12:05:12:342,2021-03-10
86,testnow,1,12:05:12:342,2021-03-10
87,testnow,1,12:05:12:398,2021-03-10
87,testnow,2,12:05:12:398,2021-03-10
88,testnow,2,12:05:12:458,2021-03-10
88,testnow,1,12:05:12:458,2021-03-10
89,testnow,2,12:05:12:538,2021-03-10
89,testnow,1,12:05:12:538,2021-03-10
90,testnow,1,12:05:12:592,2021-03-10
90,testnow,2,12:05:12:592,2021-03-10
91,testnow,2,12:05:12:659,2021-03-10
91,testnow,1,12:05:12:659,2021-03-10
92,testnow,2,12:05:12:730,2021-03-10
92,testnow,1,12:05:12:730,2021-03-10
93,testnow,2,12:05:12:792,2021-03-10
93,testnow,1,12:05:12:815,2021-03-10
94,testnow,1,12:05:12:872,2021-03-10
94,testnow,2,12:05:12:872,2021-03-10
95,testnow,1,12:05:12:923,2021-03-10
95,testnow,2,12:05:12:923,2021-03-10
96,testnow,2,12:05:13:007,2021-03-10
96,testnow,1,12:05:13:007,2021-03-10
97,testnow,1,12:05:13:057,2021-03-10
97,testnow,2,12:05:13:059,2021-03-10
98,testnow,1,12:05:13:139,2021-03-10
98,testnow,2,12:05:13:139,2021-03-10
99,testnow,2,12:05:13:200,2021-03-10
99,testnow,1,12:05:13:200,2021-03-10
100,testnow,1,12:05:13:262,2021-03-10
100,testnow,2,12:05:13:262,2021-03-10
101,testnow,2,12:05:13:342,2021-03-10
101,testnow,1,12:05:13:372,2021-03-10
102,testnow,1,12:05:13:403,2021-03-10
102,testnow,2,12:05:13:403,2021-03-10
103,testnow,1,12:05:13:458,2021-03-10
103,testnow,2,12:05:13:458,2021-03-10
104,testnow,1,12:05:13:543,2021-03-10
104,testnow,2,12:05:13:567,2021-03-10
105,testnow,1,12:05:13:594,2021-03-10
105,testnow,2,12:05:13:594,2021-03-10
106,testnow,1,12:05:13:660,2021-03-10
106,testnow,2,12:05:13:660,2021-03-10
107,testnow,1,12:05:13:730,2021-03-10
107,testnow,2,12:05:13:730,2021-03-10
108,testnow,2,12:05:13:801,2021-03-10
108,testnow,1,12:05:13:801,2021-03-10
109,testnow,2,12:05:13:862,2021-03-10
109,testnow,1,12:05:13:885,2021-03-10
110,testnow,1,12:05:13:942,2021-03-10
110,testnow,2,12:05:13:942,2021-03-10
111,testnow,1,12:05:13:993,2021-03-10
111,testnow,2,12:05:13:993,2021-03-10
112,testnow,1,12:05:14:079,2021-03-10
112,testnow,2,12:05:14:079,2021-03-10
113,testnow,2,12:05:14:132,2021-03-10
113,testnow,1,12:05:14:132,2021-03-10
114,testnow,2,12:05:14:198,2021-03-10
114,testnow,1,12:05:14:198,2021-03-10
115,testnow,1,12:05:14:267,2021-03-10
115,testnow,2,12:05:14:267,2021-03-10
116,testnow,1,12:05:14:340,2021-03-10
116,testnow,2,12:05:14:364,2021-03-10
117,testnow,2,12:05:14:402,2021-03-10
117,testnow,1,12:05:14:402,2021-03-10
118,testnow,1,12:05:14:462,2021-03-10
118,testnow,2,12:05:14:462,2021-03-10
119,testnow,2,12:05:14:533,2021-03-10
119,testnow,1,12:05:14:533,2021-03-10
120,testnow,2,12:05:14:601,2021-03-10
120,testnow,1,12:05:14:631,2021-03-10
121,testnow,1,12:05:14:666,2021-03-10
121,testnow,2,12:05:14:666,2021-03-10
122,testnow,1,12:05:14:729,2021-03-10
122,testnow,2,12:05:14:729,2021-03-10
123,testnow,2,12:05:14:812,2021-03-10
123,testnow,1,12:05:14:812,2021-03-10
124,testnow,2,12:05:14:864,2021-03-10
124,testnow,1,12:05:14:865,2021-03-10
125,testnow,1,12:05:14:943,2021-03-10
125,testnow,2,12:05:14:943,2021-03-10
126,testnow,2,12:05:14:997,2021-03-10
126,testnow,1,12:05:14:997,2021-03-10
127,testnow,1,12:05:15:079,2021-03-10
127,testnow,2,12:05:15:104,2021-03-10
128,testnow,1,12:05:15:137,2021-03-10
128,testnow,2,12:05:15:137,2021-03-10
129,testnow,2,12:05:15:212,2021-03-10
129,testnow,1,12:05:15:212,2021-03-10
130,testnow,2,12:05:15:265,2021-03-10
130,testnow,1,12:05:15:265,2021-03-10
131,testnow,1,12:05:15:349,2021-03-10
131,testnow,2,12:05:15:374,2021-03-10
132,testnow,2,12:05:15:408,2021-03-10
132,testnow,1,12:05:15:408,2021-03-10
133,testnow,1,12:05:15:469,2021-03-10
133,testnow,2,12:05:15:493,2021-03-10
134,testnow,2,12:05:15:536,2021-03-10
134,testnow,1,12:05:15:561,2021-03-10
135,testnow,1,12:05:15:599,2021-03-10
135,testnow,2,12:05:15:599,2021-03-10
136,testnow,1,12:05:15:670,2021-03-10
136,testnow,2,12:05:15:695,2021-03-10
137,testnow,1,12:05:15:736,2021-03-10
137,testnow,2,12:05:15:736,2021-03-10
138,testnow,1,12:05:15:804,2021-03-10
138,testnow,2,12:05:15:804,2021-03-10
139,testnow,2,12:05:15:871,2021-03-10
139,testnow,1,12:05:15:871,2021-03-10
140,testnow,2,12:05:15:937,2021-03-10
140,testnow,1,12:05:15:962,2021-03-10
141,testnow,1,12:05:16:005,2021-03-10
141,testnow,2,12:05:16:005,2021-03-10
142,testnow,2,12:05:16:070,2021-03-10
142,testnow,1,12:05:16:070,2021-03-10
143,testnow,2,12:05:16:140,2021-03-10
